Ambridge|40.5954|-80.2206
Ambrose|31.5595|-83.0009
Ambrose|48.8847|-103.5434
Amelia|29.6629|-91.1055
Amelia|42.1754|-99.0597
Amelia|39.0303|-84.2192
Amelia Court House|37.346|-77.957
Amenia|47.0225|-97.2592
Amenia|41.8552|-73.5602
American Canyon|38.1715|-122.2547
American Falls|42.7848|-112.8756
American Fork|40.393|-111.794
Americus|32.0682557482|-84.2163436131
Americus|38.5148|-96.2597
Amery|45.3232|-92.3779
Ames|42.0308515996|-93.6251287445
Ames|41.4788|-96.625
Ames|36.2245|-98.2084
Amesbury|42.8552|-70.9346
Amesville|39.4183|-81.9447
Amf Ohare|41.9714|-87.8968
Amherst|40.6744|-102.1693
Amherst|42.3740761355|-72.5111819092
Amherst|40.8775|-99.2724
Amherst|42.8536|-71.6035
Amherst|41.3891|-82.2311
Amherst|45.7426|-97.9223
Amherst|33.9643|-102.4213
Amherst|37.6101|-79.0675
Amherst|44.4244|-89.3098
Amherstdale|37.7919|-81.7847
Amherst Junction|44.52|-89.2962
Amidon|46.6551|-103.4574
Amigo|37.6103|-81.3514
Amissville|38.6763|-77.9773
Amistad|35.9111|-103.2081
Amite|30.7305|-90.507
Amity|34.2684|-93.4421
Amity|39.8939|-94.4952
Amity|45.1052|-123.197
Amity|40.0494|-80.1872
Amityville|40.6853524217|-73.413688604
Amlin|40.0766|-83.1806
Amma|38.5992|-81.2518
Ammon|37.1608|-77.5883
Amo|39.6856|-86.6135
Amonate|37.176|-81.612
Amoret|38.2556|-94.5628
Amorita|36.9026|-98.2221
Amory|33.9838|-88.4654
Amsterdam|38.3941|-94.5607
Amsterdam|42.9403|-74.1832
Amsterdam|40.4717|-80.9403
Amston|41.6283|-72.3594
Anabel|39.7505|-92.3314
Anacoco|31.2185|-93.4019
Anaconda|46.1347|-112.9854
Anacortes|48.4949|-122.6273
Anadarko|35.075|-98.2561
Anaheim|33.8363768051|-117.903285652
Anahola|22.1621|-159.3577
Anahuac|29.6922|-94.599
Anaktuvuk Pass|68.7493|-152.1351
Analomink|40.9658|-75.3022
Anamoose|47.8783|-100.2356
Anamosa|42.1065|-91.2807
Anasco|18.2831|-67.1417
Anatone|46.091|-117.1432
Anawalt|37.3777|-81.5097
Anchor|40.5618|-88.5327
Anchorage|61.1904366935|-149.860333978
Anchor Point|59.7909|-151.7483
Anchorville|42.7026|-82.6613
Ancona|41.0444|-88.8557
Ancram|42.0789|-73.6552
Ancramdale|42.0488|-73.5893
Andale|37.7627|-97.6241
Andalusia|31.3025458746|-86.5824821782
Andalusia|41.44|-90.724
Anderson|64.3194|-148.8449
Anderson|34.9476|-87.2459
Anderson|40.4571|-122.3204
Anderson|40.1010814849|-85.683477788
Anderson|36.6478|-94.4419
Anderson|34.5111522901|-82.6541756298
Anderson|30.5102|-95.9847
Anderson Island|47.1618|-122.6954
Andersonville|32.1738|-84.1055
Andersonville|36.2196|-84.0123
Andes|42.137|-74.7897
Andover|41.7332|-72.3747
Andover|41.9897|-90.2372
Andover|41.2807|-90.2615
Andover|37.6943|-97.1253
Andover|42.6509965596|-71.1578534404
Andover|44.6243|-70.7517
Andover|45.2504|-93.284
Andover|43.4416|-71.7916
Andover|40.9645|-74.7404
Andover|42.1567|-77.781
Andover|41.6076|-80.5704
Andover|45.397|-97.9332
